1,6,1
1,7,0
1,8,0
1,9,1
1,10,0
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,1
4,6,1
4,7,1
4,8,1
4,9,1
4,10,1
5,6,1
5,7,1
5,8,0
5,9,1
5,10,0
6,6,1
6,7,1
6,8,1
6,9,1
6,10,1
7,6,1
7,7,1
7,8,0
7,9,1
7,10,1
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
9,6,1
9,7,0
9,8,1
9,9,1
9,10,1
10,6,1
10,7,1
10,8,1
10,9,1
10,10,0
11,6,1
11,7,1
11,8,0
11,9,1
11,10,1
12,6,1
12,7,1
12,8,1
12,9,1
12,10,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,1
14,6,0
14,7,0
14,8,1
14,9,0
14,10,0
15,6,1
15,7,1
15,8,1
15,9,1
15,10,1
16,6,1
16,7,1
16,8,1
16,9,1
16,10,1
17,6,0
17,7,0
17,8,1
17,9,0
17,10,0
18,6,0
18,7,1
18,8,1
18,9,1
18,10,1
19,6,1
19,7,1
19,8,1
19,9,1
19,10,1
20,6,1
20,7,1
20,8,0
20,9,1
20,10,1
21,6,1
21,7,1
21,8,1
21,9,1
21,10,1
22,6,1
22,7,1
22,8,1
22,9,1
22,10,1
23,6,1
23,7,1
23,8,1
23,9,1
23,10,1
24,6,1
24,7,1
24,8,1
24,9,1
24,10,1
25,6,1
25,7,1
25,8,1
25,9,1
25,10,1
26,6,1
26,7,0
26,8,1
26,9,1
26,10,1
27,6,0
27,7,0
27,8,0
27,9,1
27,10,1
28,6,1
28,7,1
28,8,0
28,9,0
28,10,1
29,6,1
29,7,1
29,8,1
29,9,1
29,10,1
30,6,1
30,7,1
30,8,1
30,9,1
30,10,1
31,6,1
31,7,0
31,8,1
31,9,1
31,10,1
32,6,1
32,7,0
32,8,1
32,9,1
32,10,1
33,6,1
33,7,1
33,8,1
33,9,1
33,10,1
34,6,1
34,7,1
34,8,1
34,9,1
34,10,1
35,6,1
35,7,1
35,8,1
35,9,1
35,10,1
36,6,0
36,7,1
36,8,1
36,9,1
36,10,1
37,6,1
37,7,1
37,8,1
37,9,1
37,10,1
38,6,1
38,7,1
38,8,0
38,9,1
38,10,1
39,6,0
39,7,1
39,8,1
39,9,1
39,10,1
40,6,0
40,7,1
40,8,1
40,9,0
40,10,1
