1,6,1
1,7,0
1,8,1
1,9,0
1,10,0
1,11,1
2,6,1
2,7,0
2,8,1
2,9,1
2,10,0
2,11,1
3,6,1
3,7,0
3,8,1
3,9,1
3,10,1
3,11,1
4,6,1
4,7,0
4,8,1
4,9,1
4,10,1
4,11,1
5,6,1
5,7,0
5,8,1
5,9,1
5,10,1
5,11,1
6,6,1
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
7,6,1
7,7,0
7,8,1
7,9,1
7,10,1
7,11,1
8,6,1
8,7,1
8,8,1
8,9,0
8,10,0
8,11,0
9,6,1
9,7,1
9,8,1
9,9,1
9,10,1
9,11,1
10,6,1
10,7,1
10,8,1
10,9,1
10,10,1
10,11,1
11,6,1
11,7,1
11,8,0
11,9,1
11,10,1
11,11,0
12,6,1
12,7,1
12,8,1
12,9,1
12,10,1
12,11,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,1
13,11,1
14,6,1
14,7,0
14,8,1
14,9,1
14,10,1
14,11,1
15,6,1
15,7,1
15,8,1
15,9,1
15,10,1
15,11,0
